#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
IV|IACL|38.533|14.355|145|ALICUDI|2007-05-20T00:00:00|
IV|IBCM|40.71089|13.91612|314|IBCM|2020-06-05T12:00:00|
IV|IBRN|40.713953|13.926856|188|Ischia Barano - Stazione Osservatorio Vesuviano|2018-07-27T00:00:00|
IV|ICVJ|40.74351|13.89522|81|ICVJ|2020-10-05T10:00:00|
IV|IFIL|38.5642|14.5753|269|IFIL - Filicudi (ME), Italy|2005-01-01T10:00:00|
IV|IFOR|40.711512|13.855177|278|Faro Punta Imperatore - Stazione Osservatorio Vesuviano|2009-10-01T00:00:00|
IV|ILOS|38.4457|14.9483|283|Lipari Observatory|2005-05-11T00:00:00|
IV|IMOL|44.35955|11.74248|27|Imola|2010-08-10T10:30:00|
IV|IMTC|40.720887|13.875813|256|Monte Corvo - Stazione Osservatorio Vesuviano|2015-04-17T00:00:00|
IV|INTR|42.01154|13.9046|924|INTRODACQUA|2003-09-03T00:00:00|
IV|IOCA|40.746797|13.90142|166|Ischia - Osservatorio Casamicciola|2011-02-09T00:00:00|
IV|IPAI|36.912079|14.724807|584|IPAI|2023-05-05T14:27:00|
IV|IPNR|38.6435|15.0688|205|Panarea|2023-09-16T04:14:18|
IV|IPSM|40.746222|13.943825|154|Ischia Porto, Stazione Osservartorio Vesuviano|2018-07-02T23:00:00|
IV|ISNA|38.5546|14.8496|978|Monte Fossa delle Felci - Santa Marina Salina (ME)|2023-09-16T04:00:00|
IV|ISPIC|36.7804|14.9033|260|ISPICA|2019-05-22T15:40:23|
IV|IST3|38.7992|15.2304|255|Stromboli-Oss. Fiorentini|2012-10-18T10:45:40|
IV|ISTR|38.7866|15.1918|103|Ginostra|2011-06-24T10:45:00|
IV|IVCR|38.4096|14.961|172|Vulcano Cratere|2021-11-02T13:39:31|
IV|IVGP|38.3968|14.9608|150|Grotta Palizzi Isola di Vulcano|2012-05-17T11:14:00|
IV|IVLC|40.75909|13.872129|92|Ischia Villa la Colombaia, Stazione Osservartorio Vesuviano|2018-09-05T23:59:59|
IV|IVLO|38.42619|14.96096|56|Vulcanello (isola di Vulcano)|2024-10-22T14:15:55|
IV|IVLT|38.3961|14.9482|242|Vulcano Lentia|2021-11-02T14:28:15|
IV|IVPL|38.3763|14.9801|486|Vulcano Piano|2005-05-11T00:00:00|
IV|IVUG|38.396|14.986|250|Isola Vulcano Grillo|2007-04-13T00:00:00|
IV|JOPP|38.6068|15.8856|500|Joppolo|2006-08-07T08:00:00|2022-06-14T23:59:59
IV|LADO|39.283981|16.979492|488.0|San Nicola dell Alto|2008-06-10T10:00:00|
IV|LATB|41.4939|12.96239|0|Latina borehole|2012-11-19T12:48:34|
IV|LATE|42.6137|11.804|610|Latera|2006-05-04T00:00:00|
IV|LATO|45.18018|7.27432|742.0|Coassolo Torinese|2024-07-23T17:00:00|
IV|LAV9|41.67778|12.69888|300|LANUVIO|2003-03-01T00:00:00|
IV|LEOD|45.4582|10.1234|92|Capriano del Colle|2012-01-23T14:30:00|2018-05-23T23:59:00
IV|LEVAN|37.991327|12.345623|73|LEVAN|2019-07-25T09:20:13|
IV|LIBRI|38.083692|14.928733|945|LIBRI|2022-05-02T10:58:46|
IV|LIK|41.49961|13.55943|312|LIK|2015-05-28T00:31:00|
IV|LINA|35.871622|12.863385|63.0|Isola di Linosa|2013-02-11T10:26:52|
IV|LMD|44.07746|11.707267|450|LMD|2013-10-21T10:16:48|
IV|LNSS|42.60286|13.04032|1155|LEONESSA|2004-05-14T00:00:00|
IV|LOCA|43.30644|11.26226|511|LOCA|2023-06-20T16:00:00|
IV|LPDG|35.5183|12.6302|50|LPDG|2012-09-19T11:54:28|2099-06-18T23:59:00
IV|LPEL|42.0468|14.1832|760|Lama dei Peligni|2008-04-11T12:30:00|
IV|LRP|41.64709|13.58658|372|Arpino|2016-06-22T07:28:00|
IV|LSPZ|44.132497|9.790457|346.0|Monte Viseggi|2026-06-01T00:00:00|
IV|LTRZ|40.60325|16.8191|381.0|LATERZA|2003-03-01T00:00:00|
IV|MA9|41.769756|12.65907|340|MARINO|2008-11-25T12:00:00|
IV|MAB1|41.259|14.49583|723|MONTE ACERO|1997-07-07T00:00:00|2000-06-16T23:59:59
IV|MABI|46.05492|10.514|1853.0|MALGA BISSINA|2003-12-19T00:00:00|
IV|MAGA|45.7753|10.6286|1265.0|Magasa|2006-06-21T16:00:00|
IV|MALA0|43.00582|11.473764|441.0|MALA|2022-04-13T18:00:00|
IV|MALA1|43.003873|11.476899|404.0|MALA|2022-02-24T17:00:00|
IV|MALA2|43.003587|11.478221|414.0|MALA|2022-04-12T18:00:00|
IV|MALA3|43.005215|11.479964|445.0|MALA|2022-04-13T13:00:00|
IV|MALA4|43.005606|11.47773|430.0|MALA|2022-04-13T16:00:00|
IV|MALA5|43.007009|11.47807|444.0|MALA|2022-04-13T18:00:00|
IV|MALI|38.053|15.4|1005|Mali|2007-10-20T00:00:00|2009-04-23T23:00:00
IV|MAON|42.42828|11.1309|237|MONTE ARGENTARIO|2003-07-25T00:00:00|2021-01-05T12:27:00
IV|MARET|37.968674|12.072507|64|MARET|2024-09-24T09:24:30|
IV|MARIO|37.954428|13.433009|724|MARINEO|2021-11-19T13:52:09|
IV|MARS|37.7532|12.5647|65|Marsala|2017-10-20T11:42:00|
IV|MBAL|45.697536|10.858943|1215.0|Monte Baldo Osservatorio Astronomico Novezzina|2017-06-23T15:00:00|
IV|MBFT|37.946147|12.953452|520.0|Monte Bonifato|2018-02-20T11:27:00|
IV|MC2|42.911418|13.188976|1888.0|Monte Cornaccione|2009-01-30T06:25:00|
IV|MCEL|40.3249|15.8019|960.0|Monticello|2006-08-07T00:00:00|
